INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CALIFORNIA SCHOOL OF PROFESSIONAL PSYCH-SAN DIEGO,,,,SAN DIEGO,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA SCHOOL OF PROFESSIONAL PSYCH-ALAMEDA,,,,ALAMEDA,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CALIFORNIA STATE UNIVERSITY-BAKERSFIELD,,,,BAKERSFIELD,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CALIFORNIA STATE UNIVERSITY-STANISLAUS,,,,TURLOCK,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CALIFORNIA STATE UNIVERSITY-SAN BERNARDINO,,,,SAN BERNARDINO,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA STATE POLYTECHNIC UNIVERSITY-POMONA,,,,POMONA,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA STATE UNIVERSITY-CHICO,,,,CHICO,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS,,,,CARSON,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
CALIFORNIA STATE UNIVERSITY-FRESNO,,,,FRESNO,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CALIFORNIA STATE UNIVERSITY-FULLERTON,,,,FULLERTON,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA STATE UNIVERSITY-HAYWARD,,,,HAYWARD,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA STATE UNIVERSITY-LONG BEACH,,,,LONG BEACH,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CALIFORNIA STATE UNIVERSITY-LOS ANGELES,,,,LOS ANGELES,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,,,,NORTHRIDGE,,CA,Public,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CALIFORNIA STATE UNIVERSITY-SACRAMENTO,,,,SACRAMENTO,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF CALIFORNIA-BERKELEY,,,,BERKELEY,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
UNIVERSITY OF CALIFORNIA-DAVIS,,,,DAVIS,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
UNIVERSITY OF CALIFORNIA-IRVINE,,,,IRVINE,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNIVERSITY OF CALIFORNIA-LOS ANGELES,,,,LOS ANGELES,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
UNIVERSITY OF CALIFORNIA-RIVERSIDE,,,,RIVERSIDE,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNIVERSITY OF CALIFORNIA-SAN DIEGO,,,,LA JOLLA,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,,,,SAN FRANCISCO,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF CALIFORNIA-SANTA BARBARA,,,,SANTA BARBARA,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF CALIFORNIA-SANTA CRUZ,,,,SANTA CRUZ,,CA,Public,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
INSTITUTE OF TRANSPERSONAL PSYCHOLOGY,,,,PALO ALO,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA BEAUTY SCHOOL,,,,MODESTO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CALIFORNIA BUSINESS INSTITUTE,,,,EL MONTE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA CHRISTIAN COLLEGE,,,,FRESNO,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA COLLEGE FOR HEALTH SCIENCES,,,,NATIONAL CITY,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CALIFORNIA COLLEGE OF PODIATRIC MEDICINE,,,,SAN FRANCISCO,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CALIFORNIA CULINARY ACADEMY,,,,SAN FRANCISCO,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CALIFORNIA HAIR DESIGN ACADEMY,,,,SAN DIEGO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CALIFORNIA INSTITUTE OF THE ARTS,,,,VALENCIA,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CALIFORNIA MARITIME ACADEMY,,,,VALLEJO,,CA,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,,,,LONG BEACH,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CALIFORNIA MEDICAL SCHOOL OF SHIATSU,,,,FRESNO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CALIFORNIA WESTERN SCHOOL OF LAW,,,,SAN DIEGO,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CANADA COLLEGE,,,,REDWOOD CITY,,CA,Public,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
COLLEGE OF THE CANYONS,,,,SANTA CLARITA,,CA,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CAREER ACADEMY OF BEAUTY,,,,SEAL BEACH,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CASA LOMA COLLEGE,,,,SYLMAR,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CENTER FOR EMPLOYMENT TRAINING-SAN DIEGO,,,,SAN DIEGO,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CENTER FOR EMPLOYMENT TRAINING-SAN JOSE-VINE,,,,SAN JOSE,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CENTER FOR EMPLOYMENT TRAINING-EL CENTRO,,,,EL CENTRO,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CENTER FOR EMPLOYMENT TRAINING-RIVERSIDE,,,,RIVERSIDE,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CENTER FOR EMPLOYMENT TRAINING-WATSONVILLE,,,,WATSONVILLE,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CENTER FOR EMPLOYMENT TRAINING-GILROY,,,,GILROY,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CENTER FOR EMPLOYMENT TRAINING-SALINAS,,,,SALINAS,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CERRITOS COLLEGE,,,,NORWALK,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CERRO COSO COMMUNITY COLLEGE,,,,RIDGECREST,,CA,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CHABOT COLLEGE,,,,HAYWARD,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CHAFFEY COMMUNITY COLLEGE,,,,RANCHO CUCAMONGA,,CA,Public,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CHAPMAN UNIVERSITY,,,,ORANGE,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CHARLES R DREW UNIVERSITY OF MEDICINE AND SCIENCE,,,,LOS ANGELES,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CHILDRENS HOSPITAL SCHOOL OF XRAY TECHNOLOGY,,,,LOS ANGELES,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
CONCORDIA UNIVERSITY,,,,IRVINE,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CHRISTIAN HERITAGE COLLEGE,,,,EL CAJON,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CHURCH DIVINITY SCHOOL OF THE PACIFIC,,,,BERKELEY,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CITRUS COLLEGE,,,,GLENDORA,,CA,Public,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CITY COLLEGE OF SAN FRANCISCO,,,,SAN FRANCISCO,,CA,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
CLAREMONT GRADUATE SCHOOL,,,,CLAREMONT,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CLAREMONT MCKENNA COLLEGE,,,,CLAREMONT,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
GOLDEN STATE BUSINESS COLLEGE,,,,VISALIA,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CLEVELAND CHIROPRACTIC COLLEGE OF LOS ANGELES,,,,LOS ANGELES,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CLOVIS ADULT EDUCATION,,,,CLOVIS,,CA,Public,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
COASTLINE COMMUNITY COLLEGE,,,,FOUNTAIN VALLEY,,CA,Public,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
COGSWELL COLLEGE,,,,SUNNYVALE,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
COLEMAN COLLEGE,,,,LA MESA,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
COLLEEN O'HARAS BEAUTY ACADEMY,,,,ORANGE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
COLLEGE OF OCEANEERING,,,,WILMINGTON,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
WESTERN UNIVERSITY OF HEALTH SCIENCES,,,,POMONA,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
COLUMBIA COLLEGE,,,,SONORA,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
COLUMBIA COLLEGE-HOLLYWOOD,,,,HOLLYWOOD,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
COMPTON COMMUNITY COLLEGE,,,,COMPTON,,CA,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
COMPUTER LEARNING CENTER,,,,LOS ANGELES,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
COMPUTER LEARNING CENTER,,,,SAN JOSE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
COMPUTER LEARNING CENTER OF ANAHEIM,,,,ANAHEIM,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CONSOLIDATED WELDING SCHOOL,,,,LYNWOOD,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CONTEMPO SCHOOL OF BEAUTY,,,,INGLEWOOD,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
SAN FERNANDO BEAUTY ACADEMY,,,,SYLMAR,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
CONTRA COSTA COLLEGE,,,,SAN PABLO,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
COSUMNES RIVER COLLEGE,,,,SACRAMENTO,,CA,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
BRYAN COLLEGE-SAN FRANCISCO,,,,SAN FRANCISCO,,CA,Private for-profit,Not classified,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CRAFTON HILLS COLLEGE,,,,YUCAIPA,,CA,Public,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CUESTA COLLEGE,,,,SAN LUIS OBISPO,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CUYAMACA COLLEGE,,,,EL CAJON,,CA,Public,Predominantly associate's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
CYPRESS COLLEGE,,,,CYPRESS,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
D-Q UNIVERSITY,,,,DAVIS,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
DANIEL FREEMAN HOSPITAL PARAMEDIC SCHOOL,,,,INGLEWOOD,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
DE ANZA COLLEGE,,,,CUPERTINO,,CA,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
DEEP SPRINGS COLLEGE,,,,DYER,,NV,Private nonprofit,Not classified,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
DELL'ARTE SCHOOL OF PHYSICAL THEATRE,,,,BLUE LAKE,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
COLLEGE OF THE DESERT,,,,PALM DESERT,,CA,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
DESIGN INSTITUTE OF SAN DIEGO,,,,SAN DIEGO,,CA,Private for-profit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
DEVRY INSTITUTE OF TECHNOLOGY-POMONA,,,,POMONA,,CA,Private for-profit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
DIABLO VALLEY COLLEGE,,,,PLEASANT HILL,,CA,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
DICKINSON-WARREN COLLEGE,,,,CONCORD,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
DOMINICAN COLLEGE OF SAN RAFAEL,,,,SAN RAFAEL,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,,,,BERKELEY,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
DON BOSCO TECHNICAL INSTITUTE,,,,ROSEMEAD,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
DONS BEAUTY SCHOOL,,,,SAN MATEO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
EAST LOS ANGELES COLLEGE,,,,MONTEREY PARK,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
EAST LOS ANGELES OCCUPATIONAL CENTER,,,,LOS ANGELES,,CA,Public,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
CALIFORNIA COSMETOLOGY COLLEGE,,,,SAN JOSE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
EDUCATIONAL CULTURAL COMPLEX,,,,SAN DIEGO,,CA,Public,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
EL CAMINO COLLEGE,,,,TORRANCE,,CA,Public,Predominantly associate's-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
ELDORADO COLLEGE,,,,OCEANSIDE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ELDORADO COLLEGE,,,,WEST COVINA,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ELEGANCE INTERNATIONAL,,,,LOS ANGELES,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
ELEGANTE BEAUTY COLLEGE,,,,LA PUENTE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
ELEGANTE BEAUTY COLLEGE,,,,LONG BEACH,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
ELEGANTE BEAUTY COLLEGE,,,,MORENO VALLEY,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
EMPERORS COLLEGE OF TRADITIONAL ORIENTAL MEDICINE,,,,SANTA MONICA,,CA,Private for-profit,Entirely graduate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
EMPIRE COLLEGE SCHOOL OF BUSINESS,,,,SANTA ROSA,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
EVERGREEN VALLEY COLLEGE,,,,SAN JOSE,,CA,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
FASHION INSTITUTE OF DESIGN AND MERCH-LOS ANGELES,,,,LOS ANGELES,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FASHION CAREERS OF CALIFORNIA,,,,SAN DIEGO,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
FASHION INSTITUTE OF DESIGN AND MERCH-SAN FRAN,,,,SAN FRANCISCO,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FASHION INSTITUTE OF DESIGN AND MERCH-ORANGE CNTY,,,,COSTA MESA,,CA,Private for-profit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
FEATHER RIVER COMMUNITY COLLEGE DISTRICT,,,,QUINCY,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FEDERICO COLLEGE OF HAIRSTYLING,,,,SACRAMENTO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
FEDERICOS KERN COUNTY COLLEGE OF BEAUTY,,,,BAKERSFIELD,,CA,Private for-profit,Not classified,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
THE FIELDING INSTITUTE,,,,SANTA BARBARA,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
HAIR CALIFORNIA BEAUTY ACADEMY,,,,ORANGE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FOOTHILL COLLEGE,,,,LOS ALTOS HILLS,,CA,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
FREDERICK & CHARLES BEAUTY COLLEGE,,,,EUREKA,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
FRESNO CITY COLLEGE,,,,FRESNO,,CA,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
FRESNO PACIFIC COLLEGE,,,,FRESNO,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FULLER THEOLOGICAL SEMINARY IN CALIFORNIA,,,,PASADENA,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
FULLERTON COLLEGE,,,,FULLERTON,,CA,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
GALEN COLLEGE OF MEDICAL AND DENTAL ASSISTANTS,,,,MODESTO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GALEN COLLEGE OF MEDICAL AND DENTAL ASSISTANTS,,,,FRESNO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
GALEN COLLEGE OF MEDICAL AND DENTAL ASSISTANTS,,,,VISALIA,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
GANAYE ACADEMY OF COSMETOLOGY INC,,,,SAN JOSE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
GAVILAN COLLEGE,,,,GILROY,,CA,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
GEMOLOGICAL INSTITUTE OF AMERICA,,,,CARLSBAD,,CA,Private nonprofit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
GLENDALE COMMUNITY COLLEGE,,,,GLENDALE,,CA,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
GLENDALE CAREER COLLEGE,,,,GLENDALE,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
GOLDEN GATE BAPTIST SEMINARY,,,,MILL VALLEY,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
GOLDEN GATE UNIVERSITY-MONTEREY,,,,MONTEREY,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
GOLDEN GATE UNIVERSITY-SAN FRANCISCO,,,,SAN FRANCISCO,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
GOLDEN WEST COLLEGE,,,,HUNTINGTON BEACH,,CA,Public,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
GRADUATE THEOLOGICAL UNION,,,,BERKELEY,,CA,Private nonprofit,Entirely graduate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
GROSSMONT COLLEGE,,,,EL CAJON,,CA,Public,Predominantly associate's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
HAIR MASTERS UNIVERSITY,,,,SAN BERNARDINO,,CA,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HARBOR OCCUPATIONAL CENTER,,,,SAN PEDRO,,CA,Public,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
HARTNELL COLLEGE,,,,SALINAS,,CA,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
HARVEY MUDD COLLEGE,,,,CLAREMONT,,CA,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
HEALD BUSINESS COLLEGE-HAYWARD,,,,HAYWARD,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
HEALD BUSINESS COLLEGE,,,,OAKLAND,,CA,Private nonprofit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
