INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
MARION MILITARY INSTITUTE,,,,MARION,,AL,Private nonprofit,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
MASTERS INSTITUTE OF COSMETOLOGY,,,,HUNTSVILLE,,AL,Private for-profit,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
MILES COLLEGE,,,,FAIRFIELD,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
UNIVERSITY OF MOBILE,,,,MOBILE,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
UNIVERSITY OF MONTEVALLO,,,,MONTEVALLO,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHWEST SHOALS COMMUNITY COLLEGE,,,,MUSCLE SHOALS,,AL,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
BEVILL STATE COMMUNITY COLLEGE-HAMILTON CAMPUS,,,,HAMILTON,,AL,Public,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF NORTH ALABAMA,,,,FLORENCE,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHEAST ALABAMA STATE COMMUNITY COLLEGE,,,,RAINSVILLE,,AL,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHWEST SHOALS COMMUNITY COLLEGE-PHIL CAMPBELL,,,,PHIL CAMPBELL,,AL,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
OAKWOOD COLLEGE,,,,HUNTSVILLE,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
ALABAMA SOUTHERN COMMUNITY COLLEGE,,,,MONROEVILLE,,AL,Public,Predominantly certificate-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
PRINCE INSTITUTE OF PROFESSIONAL STUDIES INC,,,,MONTGOMERY,,AL,Private for-profit,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
REID STATE TECHNICAL COLLEGE,,,,EVERGREEN,,AL,Public,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
BISHOP STATE COMMUNITY COLLEGE,,,,MOBILE,,AL,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
SAMFORD UNIVERSITY,,,,BIRMINGHAM,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
SHELTON STATE COMMUNITY COLLEGE,,,,TUSCALOOSA,,AL,Public,Predominantly associate's-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
SNEAD STATE COMMUNITY COLLEGE,,,,BOAZ,,AL,Public,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
UNIVERSITY OF SOUTH ALABAMA,,,,MOBILE,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,,,,FAIRHOPE,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
SOUTHERN COMMUNITY COLLEGE,,,,TUSKEGEE,,AL,Private nonprofit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
SPRING HILL COLLEGE,,,,MOBILE,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
SOUTHEASTERN BIBLE COLLEGE,,,,BIRMINGHAM,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
STILLMAN COLLEGE,,,,TUSCALOOSA,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
TALLADEGA COLLEGE,,,,TALLADEGA,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
TRENHOLM STATE TECHNICAL COLLEGE,,,,MONTGOMERY,,AL,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
TROY STATE UNIVERSITY-DOTHAN,,,,DOTHAN,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
TROY STATE UNIVERSITY IN PHENIX CITY,,,,PHENIX CITY,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
TROY STATE UNIVERSITY-MONTGOMERY,,,,MONTGOMERY,,AL,Public,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
TROY STATE UNIVERSITY-MAIN CAMPUS,,,,TROY,,AL,Public,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
TUSKEGEE UNIVERSITY,,,,TUSKEGEE,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
UNITED STATES SPORTS ACADEMY,,,,DAPHNE,,AL,Private nonprofit,Entirely graduate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
UNIVERSITY OF ALABAMA AT BIRMINGHAM-WALKER COLLEGE,,,,JASPER,,AL,Public,Predominantly associate's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
BEVILL STATE COMMUNITY COLLEGE,,,,SUMITON,,AL,Public,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ALASKA COMPUTER INSTITUTE,,,,ANCHORAGE,,AK,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
UNIVERSITY OF ALASKA ANCHORAGE,,,,ANCHORAGE,,AK,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF ALASKA FAIRBANKS,,,,FAIRBANKS,,AK,Public,Predominantly bachelor's-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
UNIVERSITY OF ALASKA SOUTHEAST,,,,JUNEAU,,AK,Public,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ALASKA PACIFIC UNIVERSITY,,,,ANCHORAGE,,AK,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ALASKA VOCATIONAL TECHNICAL CENTER,,,,SEWARD,,AK,Public,Not classified,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
CHARTER COLLEGE,,,,ANCHORAGE,,AK,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
NEW CONCEPTS BEAUTY SCHOOL INC,,,,FAIRBANKS,,AK,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,,,,VALDEZ,,AK,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
SHELDON JACKSON COLLEGE,,,,SITKA,,AK,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
CAREER ACADEMY,,,,ANCHORAGE,,AK,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ACADEMY OF BUSINESS COLLEGE,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
AL COLLINS GRAPHIC DESIGN SCHOOL,,,,TEMPE,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
ALLURE CAREER COLLEGE OF BEAUTY,,,,SCOTTSDALE,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
ALLURE CAREER COLLEGE OF BEAUTY,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southwest (AZ, NM, OK, TX)"
AMERICAN GRADUATE SCHOOL OF INTERNATIONAL MGMT,,,,GLENDALE,,AZ,Private nonprofit,Entirely graduate-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
AMERICAN INDIAN COLL OF THE ASSEMBLIES OF GOD INC,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
AMERICAN INSTITUTE OF TECHNOLOGY,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
AMERICAN INSTITUTE,,,,PHOENIX,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
APOLLO COLLEGE-PHOENIX INC,,,,PHOENIX,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
APOLLO COLLEGE-TRI CITY INC,,,,MESA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
APOLLO COLLEGE,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
NORTHERN ARIZONA COLLEGE OF HEALTH CAREERS,,,,FLAGSTAFF,,AZ,Private for-profit,Not classified,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARIZONA ACADEMY OF BEAUTY,,,,TUCSON,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
NATIONAL EDUCATION CENTER-AZ AUTOMOTIVE INSTITUTE,,,,GLENDALE,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARIZONA COLLEGE OF THE BIBLE,,,,PHOENIX,,AZ,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARIZONA INSTITUTE OF BUSINESS AND TECHNOLOGY,,,,PHOENIX,,AZ,Private nonprofit,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
ARIZONA STATE UNIVERSITY-MAIN CAMPUS,,,,TEMPE,,AZ,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ARIZONA WESTERN COLLEGE,,,,YUMA,,AZ,Public,Predominantly associate's-degree granting,,,,,"New England (CT, ME, MA, NH, RI, VT)"
UNIVERSITY OF ARIZONA,,,,TUCSON,,AZ,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
THE ART CENTER,,,,TUCSON,,AZ,Private for-profit,Predominantly associate's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
BEEBES ACADEMY OF BEAUTY CULTURE,,,,YUMA,,AZ,Private for-profit,Predominantly certificate-degree granting,,,,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
